날짜,발전기명,일일발전량(kWh)
2021-06-01,광양항광양냉장태양광,4244.454
2021-06-02,광양항광양냉장태양광,3248.909
2021-06-03,광양항광양냉장태양광,729.91
2021-06-04,광양항광양냉장태양광,4507.685
2021-06-05,광양항광양냉장태양광,4013.043
2021-06-06,광양항광양냉장태양광,4278.685
2021-06-07,광양항광양냉장태양광,4040.043
2021-06-08,광양항광양냉장태양광,4194.316
2021-06-09,광양항광양냉장태양광,4371.249
2021-06-10,광양항광양냉장태양광,2115.959
2021-06-11,광양항광양냉장태양광,1841.16
2021-06-12,광양항광양냉장태양광,3770.062
2021-06-13,광양항광양냉장태양광,3889.625
2021-06-14,광양항광양냉장태양광,1880.21
2021-06-15,광양항광양냉장태양광,686.036
2021-06-16,광양항광양냉장태양광,2777.408
2021-06-17,광양항광양냉장태양광,2703.646
2021-06-18,광양항광양냉장태양광,1633.372
2021-06-19,광양항광양냉장태양광,4575.66
2021-06-20,광양항광양냉장태양광,4149.963
2021-06-21,광양항광양냉장태양광,4247.83
2021-06-22,광양항광양냉장태양광,3604.701
2021-06-23,광양항광양냉장태양광,2528.159
2021-06-24,광양항광양냉장태양광,3578.185
2021-06-25,광양항광양냉장태양광,4028.472
2021-06-26,광양항광양냉장태양광,3515.031
2021-06-27,광양항광양냉장태양광,4015.454
2021-06-28,광양항광양냉장태양광,3062.332
2021-06-29,광양항광양냉장태양광,3387.272
2021-06-30,광양항광양냉장태양광,3349.187
2021-07-01,광양항광양냉장태양광,4222.279
2021-07-02,광양항광양냉장태양광,3291.333
2021-07-03,광양항광양냉장태양광,428.11
2021-07-04,광양항광양냉장태양광,2781.747
2021-07-05,광양항광양냉장태양광,521.155
2021-07-06,광양항광양냉장태양광,252.141
2021-07-07,광양항광양냉장태양광,987.832
2021-07-08,광양항광양냉장태양광,2019.057
2021-07-09,광양항광양냉장태양광,2796.208
2021-07-10,광양항광양냉장태양광,3091.259
2021-07-11,광양항광양냉장태양광,3279.759
2021-07-12,광양항광양냉장태양광,3919.998
2021-07-13,광양항광양냉장태양광,4167.318
2021-07-14,광양항광양냉장태양광,3728.602
2021-07-15,광양항광양냉장태양광,3486.585
2021-07-16,광양항광양냉장태양광,3306.277
2021-07-17,광양항광양냉장태양광,2866.597
2021-07-18,광양항광양냉장태양광,3232.032
2021-07-19,광양항광양냉장태양광,3228.177
2021-07-20,광양항광양냉장태양광,2135.727
2021-07-21,광양항광양냉장태양광,3079.689
2021-07-22,광양항광양냉장태양광,3392.093
2021-07-23,광양항광양냉장태양광,3789.831
2021-07-24,광양항광양냉장태양광,3657.249
2021-07-25,광양항광양냉장태양광,3991.832
2021-07-26,광양항광양냉장태양광,3769.099
2021-07-27,광양항광양냉장태양광,4281.576
2021-07-28,광양항광양냉장태양광,4158.159
2021-07-29,광양항광양냉장태양광,3840.934
2021-07-30,광양항광양냉장태양광,4044.864
2021-07-31,광양항광양냉장태양광,3708.352
2021-08-01,광양항광양냉장태양광,3834.181
2021-08-02,광양항광양냉장태양광,3340.025
2021-08-03,광양항광양냉장태양광,2729.678
2021-08-04,광양항광양냉장태양광,3988.939
2021-08-05,광양항광양냉장태양광,3843.345
2021-08-06,광양항광양냉장태양광,3960.496
2021-08-07,광양항광양냉장태양광,3837.076
2021-08-08,광양항광양냉장태양광,1540.327
2021-08-09,광양항광양냉장태양광,2961.573
2021-08-10,광양항광양냉장태양광,3212.749
2021-08-11,광양항광양냉장태양광,3033.888
2021-08-12,광양항광양냉장태양광,2775.961
2021-08-13,광양항광양냉장태양광,1322.897
2021-08-14,광양항광양냉장태양광,1792.948
2021-08-15,광양항광양냉장태양광,3692.925
2021-08-16,광양항광양냉장태양광,2596.137
2021-08-17,광양항광양냉장태양광,2580.225
2021-08-18,광양항광양냉장태양광,3803.329
2021-08-19,광양항광양냉장태양광,3793.206
2021-08-20,광양항광양냉장태양광,3746.922
2021-08-21,광양항광양냉장태양광,255.515
2021-08-22,광양항광양냉장태양광,3239.263
2021-08-23,광양항광양냉장태양광,972.888
2021-08-24,광양항광양냉장태양광,1270.347
2021-08-25,광양항광양냉장태양광,720.747
2021-08-26,광양항광양냉장태양광,3756.564
2021-08-27,광양항광양냉장태양광,2423.542
2021-08-28,광양항광양냉장태양광,2873.349
2021-08-29,광양항광양냉장태양광,2308.32
2021-08-30,광양항광양냉장태양광,3022.801
2021-08-31,광양항광양냉장태양광,3107.168
2021-09-01,광양항광양냉장태양광,1193.692
2021-09-02,광양항광양냉장태양광,1105.951
2021-09-03,광양항광양냉장태양광,2142.957
2021-09-04,광양항광양냉장태양광,2641.938
2021-09-05,광양항광양냉장태양광,1141.144
2021-09-06,광양항광양냉장태양광,541.405
2021-09-07,광양항광양냉장태양광,998.923
2021-09-08,광양항광양냉장태양광,3422.946
2021-09-09,광양항광양냉장태양광,2889.738
2021-09-10,광양항광양냉장태양광,907.805
2021-09-11,광양항광양냉장태양광,3581.558
2021-09-12,광양항광양냉장태양광,2953.377
2021-09-13,광양항광양냉장태양광,1643.015
2021-09-14,광양항광양냉장태양광,1117.038
2021-09-15,광양항광양냉장태양광,2850.688
2021-09-16,광양항광양냉장태양광,912.624
2021-09-17,광양항광양냉장태양광,1330.609
2021-09-18,광양항광양냉장태양광,2414.385
2021-09-19,광양항광양냉장태양광,3707.39
2021-09-20,광양항광양냉장태양광,2141.513
2021-09-21,광양항광양냉장태양광,1537.917
2021-09-22,광양항광양냉장태양광,3056.548
2021-09-23,광양항광양냉장태양광,3348.702
2021-09-24,광양항광양냉장태양광,3403.182
2021-09-25,광양항광양냉장태양광,1709.546
2021-09-26,광양항광양냉장태양광,2306.876
2021-09-27,광양항광양냉장태양광,3289.886
2021-09-28,광양항광양냉장태양광,1302.167
2021-09-29,광양항광양냉장태양광,941.07
2021-09-30,광양항광양냉장태양광,2588.423
2021-10-01,광양항광양냉장태양광,3332.794
2021-10-02,광양항광양냉장태양광,3319.296
2021-10-03,광양항광양냉장태양광,3228.178
2021-10-04,광양항광양냉장태양광,2893.113
2021-10-05,광양항광양냉장태양광,3207.445
2021-10-06,광양항광양냉장태양광,3076.313
2021-10-07,광양항광양냉장태양광,2686.289
2021-10-08,광양항광양냉장태양광,2100.531
2021-10-09,광양항광양냉장태양광,3006.408
2021-10-10,광양항광양냉장태양광,1828.142
2021-10-11,광양항광양냉장태양광,519.227
2021-10-12,광양항광양냉장태양광,1407.265
2021-10-13,광양항광양냉장태양광,2359.905
2021-10-14,광양항광양냉장태양광,2906.613
2021-10-15,광양항광양냉장태양광,2211.416
2021-10-16,광양항광양냉장태양광,807.045
2021-10-17,광양항광양냉장태양광,3501.05
2021-10-18,광양항광양냉장태양광,3364.614
2021-10-19,광양항광양냉장태양광,2923.487
2021-10-20,광양항광양냉장태양광,2297.713
2021-10-21,광양항광양냉장태양광,2579.264
2021-10-22,광양항광양냉장태양광,3276.871
2021-10-23,광양항광양냉장태양광,3169.359
2021-10-24,광양항광양냉장태양광,2360.869
2021-10-25,광양항광양냉장태양광,3059.44
2021-10-26,광양항광양냉장태양광,2847.797
2021-10-27,광양항광양냉장태양광,2685.326
2021-10-28,광양항광양냉장태양광,2974.108
2021-10-29,광양항광양냉장태양광,2769.695
2021-10-30,광양항광양냉장태양광,1327.238
2021-10-31,광양항광양냉장태양광,2737.392
2021-11-01,광양항광양냉장태양광,2464.521
2021-11-02,광양항광양냉장태양광,2680.507
2021-11-03,광양항광양냉장태양광,2680.986
2021-11-04,광양항광양냉장태양광,2615.902
2021-11-05,광양항광양냉장태양광,1879.245
2021-11-06,광양항광양냉장태양광,2392.208
2021-11-07,광양항광양냉장태양광,2563.837
2021-11-08,광양항광양냉장태양광,579.491
2021-11-09,광양항광양냉장태양광,1630.963
2021-11-10,광양항광양냉장태양광,1698.938
2021-11-11,광양항광양냉장태양광,1456.924
2021-11-12,광양항광양냉장태양광,1697.011
2021-11-13,광양항광양냉장태양광,2083.66
2021-11-14,광양항광양냉장태양광,2057.625
2021-11-15,광양항광양냉장태양광,2310.249
2021-11-16,광양항광양냉장태양광,1898.048
2021-11-17,광양항광양냉장태양광,2410.526
2021-11-18,광양항광양냉장태양광,2322.784
2021-11-19,광양항광양냉장태양광,2416.794
2021-11-20,광양항광양냉장태양광,2148.26
2021-11-21,광양항광양냉장태양광,957.46
2021-11-22,광양항광양냉장태양광,1695.083
2021-11-23,광양항광양냉장태양광,1728.83
2021-11-24,광양항광양냉장태양광,1893.229
2021-11-25,광양항광양냉장태양광,2027.253
2021-11-26,광양항광양냉장태양광,2434.149
2021-11-27,광양항광양냉장태양광,2366.173
2021-11-28,광양항광양냉장태양광,2327.604
2021-11-29,광양항광양냉장태양광,2141.51
2021-11-30,광양항광양냉장태양광,419.914
2021-12-01,광양항광양냉장태양광,1609.749
2021-12-02,광양항광양냉장태양광,2287.105
2021-12-03,광양항광양냉장태양광,1653.62
2021-12-04,광양항광양냉장태양광,1301.685
2021-12-05,광양항광양냉장태양광,1597.695
2021-12-06,광양항광양냉장태양광,2138.618
2021-12-07,광양항광양냉장태양광,2200.809
2021-12-08,광양항광양냉장태양광,2264.448
2021-12-09,광양항광양냉장태양광,1265.526
2021-12-10,광양항광양냉장태양광,1496.455
2021-12-11,광양항광양냉장태양광,1974.221
2021-12-12,광양항광양냉장태양광,1224.547
2021-12-13,광양항광양냉장태양광,2429.81
2021-12-14,광양항광양냉장태양광,1992.542
2021-12-15,광양항광양냉장태양광,1396.177
2021-12-16,광양항광양냉장태양광,673.017
2021-12-17,광양항광양냉장태양광,1613.605
2021-12-18,광양항광양냉장태양광,2432.704
2021-12-19,광양항광양냉장태양광,2229.737
2021-12-20,광양항광양냉장태양광,1926.973
2021-12-21,광양항광양냉장태양광,1960.24
2021-12-22,광양항광양냉장태양광,2136.21
2021-12-23,광양항광양냉장태양광,2005.075
2021-12-24,광양항광양냉장태양광,985.905
2021-12-25,광양항광양냉장태양광,2377.743
2021-12-26,광양항광양냉장태양광,2411.975
2021-12-27,광양항광양냉장태양광,2295.784
2021-12-28,광양항광양냉장태양광,2032.073
2021-12-29,광양항광양냉장태양광,1351.823
2021-12-30,광양항광양냉장태양광,2066.785
2021-12-31,광양항광양냉장태양광,2439.934
2022-01-01,광양항광양냉장태양광,2327.121
2022-01-02,광양항광양냉장태양광,2043.16
2022-01-03,광양항광양냉장태양광,2379.19
2022-01-04,광양항광양냉장태양광,2246.128
2022-01-05,광양항광양냉장태양광,674.466
2022-01-06,광양항광양냉장태양광,2410.044
2022-01-07,광양항광양냉장태양광,2378.224
2022-01-08,광양항광양냉장태양광,2414.384
2022-01-09,광양항광양냉장태양광,1635.301
2022-01-10,광양항광양냉장태양광,1946.741
2022-01-11,광양항광양냉장태양광,2486.7
2022-01-12,광양항광양냉장태양광,2545.999
2022-01-13,광양항광양냉장태양광,2325.193
2022-01-14,광양항광양냉장태양광,2548.41
2022-01-15,광양항광양냉장태양광,2276.981
2022-01-16,광양항광양냉장태양광,2242.271
2022-01-17,광양항광양냉장태양광,1907.208
2022-01-18,광양항광양냉장태양광,2617.83
2022-01-19,광양항광양냉장태양광,2281.323
2022-01-20,광양항광양냉장태양광,2498.269
2022-01-21,광양항광양냉장태양광,2268.786
2022-01-22,광양항광양냉장태양광,1635.782
2022-01-23,광양항광양냉장태양광,1108.841
2022-01-24,광양항광양냉장태양광,1507.061
2022-01-25,광양항광양냉장태양광,540.441
2022-01-26,광양항광양냉장태양광,2276.02
2022-01-27,광양항광양냉장태양광,2254.806
2022-01-28,광양항광양냉장태양광,2636.151
2022-01-29,광양항광양냉장태양광,2108.729
2022-01-30,광양항광양냉장태양광,2157.422
2022-01-31,광양항광양냉장태양광,2717.143
2022-02-01,광양항광양냉장태양광,2300.123
2022-02-02,광양항광양냉장태양광,2014.237
2022-02-03,광양항광양냉장태양광,2805.37
2022-02-04,광양항광양냉장태양광,2637.597
2022-02-05,광양항광양냉장태양광,2878.17
2022-02-06,광양항광양냉장태양광,2205.15
2022-02-07,광양항광양냉장태양광,1153.679
2022-02-08,광양항광양냉장태양광,2695.45
2022-02-09,광양항광양냉장태양광,2096.193
2022-02-10,광양항광양냉장태양광,2782.229
2022-02-11,광양항광양냉장태양광,2790.909
2022-02-12,광양항광양냉장태양광,2623.134
2022-02-13,광양항광양냉장태양광,2034.965
2022-02-14,광양항광양냉장태양광,1710.029
2022-02-15,광양항광양냉장태양광,2956.753
2022-02-16,광양항광양냉장태양광,2292.411
2022-02-17,광양항광양냉장태양광,3030.513
2022-02-18,광양항광양냉장태양광,2931.683
2022-02-19,광양항광양냉장태양광,1577.931
2022-02-20,광양항광양냉장태양광,3418.608
2022-02-21,광양항광양냉장태양광,2946.626
2022-02-22,광양항광양냉장태양광,3106.687
2022-02-23,광양항광양냉장태양광,2890.702
2022-02-24,광양항광양냉장태양광,3363.648
2022-02-25,광양항광양냉장태양광,3183.822
2022-02-26,광양항광양냉장태양광,2936.987
2022-02-27,광양항광양냉장태양광,3300.011
2022-02-28,광양항광양냉장태양광,2228.29
2022-03-01,광양항광양냉장태양광,2411.973
2022-03-02,광양항광양냉장태양광,3686.658
2022-03-03,광양항광양냉장태양광,3390.647
2022-03-04,광양항광양냉장태양광,2384.493
2022-03-05,광양항광양냉장태양광,3674.124
2022-03-06,광양항광양냉장태양광,3778.742
2022-03-07,광양항광양냉장태양광,2792.353
2022-03-08,광양항광양냉장태양광,3397.397
2022-03-09,광양항광양냉장태양광,3392.575
2022-03-10,광양항광양냉장태양광,2847.315
2022-03-11,광양항광양냉장태양광,1376.412
2022-03-12,광양항광양냉장태양광,2977.483
2022-03-13,광양항광양냉장태양광,337.474
2022-03-14,광양항광양냉장태양광,338.437
2022-03-15,광양항광양냉장태양광,3537.688
2022-03-16,광양항광양냉장태양광,3568.06
2022-03-17,광양항광양냉장태양광,786.794
2022-03-18,광양항광양냉장태양광,1691.225
2022-03-19,광양항광양냉장태양광,2159.833
2022-03-20,광양항광양냉장태양광,2805.371
2022-03-21,광양항광양냉장태양광,2565.763
2022-03-22,광양항광양냉장태양광,3356.418
2022-03-23,광양항광양냉장태양광,2205.631
2022-03-24,광양항광양냉장태양광,3585.417
2022-03-25,광양항광양냉장태양광,1131.019
2022-03-26,광양항광양냉장태양광,2702.681
2022-03-27,광양항광양냉장태양광,3812.49
2022-03-28,광양항광양냉장태양광,3278.317
2022-03-29,광양항광양냉장태양광,4035.222
2022-03-30,광양항광양냉장태양광,2441.863
