,날짜,발전기명,일일발전량(kWh)
0,2021-06-01,광양항광양냉장태양광,4244.454
1,2021-06-02,광양항광양냉장태양광,3248.909
2,2021-06-03,광양항광양냉장태양광,729.91
3,2021-06-04,광양항광양냉장태양광,4507.685
4,2021-06-05,광양항광양냉장태양광,4013.043
5,2021-06-06,광양항광양냉장태양광,4278.685
6,2021-06-07,광양항광양냉장태양광,4040.043
7,2021-06-08,광양항광양냉장태양광,4194.316
8,2021-06-09,광양항광양냉장태양광,4371.249
9,2021-06-10,광양항광양냉장태양광,2115.959
10,2021-06-11,광양항광양냉장태양광,1841.16
11,2021-06-12,광양항광양냉장태양광,3770.062
12,2021-06-13,광양항광양냉장태양광,3889.625
13,2021-06-14,광양항광양냉장태양광,1880.21
14,2021-06-15,광양항광양냉장태양광,686.036
15,2021-06-16,광양항광양냉장태양광,2777.408
16,2021-06-17,광양항광양냉장태양광,2703.646
17,2021-06-18,광양항광양냉장태양광,1633.372
18,2021-06-19,광양항광양냉장태양광,4575.66
19,2021-06-20,광양항광양냉장태양광,4149.963
20,2021-06-21,광양항광양냉장태양광,4247.83
21,2021-06-22,광양항광양냉장태양광,3604.701
22,2021-06-23,광양항광양냉장태양광,2528.159
23,2021-06-24,광양항광양냉장태양광,3578.185
24,2021-06-25,광양항광양냉장태양광,4028.472
25,2021-06-26,광양항광양냉장태양광,3515.031
26,2021-06-27,광양항광양냉장태양광,4015.454
27,2021-06-28,광양항광양냉장태양광,3062.332
28,2021-06-29,광양항광양냉장태양광,3387.272
29,2021-06-30,광양항광양냉장태양광,3349.187
30,2021-07-01,광양항광양냉장태양광,4222.279
31,2021-07-02,광양항광양냉장태양광,3291.333
32,2021-07-03,광양항광양냉장태양광,428.11
33,2021-07-04,광양항광양냉장태양광,2781.747
34,2021-07-05,광양항광양냉장태양광,521.155
35,2021-07-06,광양항광양냉장태양광,252.141
36,2021-07-07,광양항광양냉장태양광,987.832
37,2021-07-08,광양항광양냉장태양광,2019.057
38,2021-07-09,광양항광양냉장태양광,2796.208
39,2021-07-10,광양항광양냉장태양광,3091.259
40,2021-07-11,광양항광양냉장태양광,3279.759
41,2021-07-12,광양항광양냉장태양광,3919.998
42,2021-07-13,광양항광양냉장태양광,4167.318
43,2021-07-14,광양항광양냉장태양광,3728.602
44,2021-07-15,광양항광양냉장태양광,3486.585
45,2021-07-16,광양항광양냉장태양광,3306.277
46,2021-07-17,광양항광양냉장태양광,2866.597
47,2021-07-18,광양항광양냉장태양광,3232.032
48,2021-07-19,광양항광양냉장태양광,3228.177
49,2021-07-20,광양항광양냉장태양광,2135.727
50,2021-07-21,광양항광양냉장태양광,3079.689
51,2021-07-22,광양항광양냉장태양광,3392.093
52,2021-07-23,광양항광양냉장태양광,3789.831
53,2021-07-24,광양항광양냉장태양광,3657.249
54,2021-07-25,광양항광양냉장태양광,3991.832
55,2021-07-26,광양항광양냉장태양광,3769.099
56,2021-07-27,광양항광양냉장태양광,4281.576
57,2021-07-28,광양항광양냉장태양광,4158.159
58,2021-07-29,광양항광양냉장태양광,3840.934
59,2021-07-30,광양항광양냉장태양광,4044.864
60,2021-07-31,광양항광양냉장태양광,3708.352
61,2021-08-01,광양항광양냉장태양광,3834.181
62,2021-08-02,광양항광양냉장태양광,3340.025
63,2021-08-03,광양항광양냉장태양광,2729.678
64,2021-08-04,광양항광양냉장태양광,3988.939
65,2021-08-05,광양항광양냉장태양광,3843.345
66,2021-08-06,광양항광양냉장태양광,3960.496
67,2021-08-07,광양항광양냉장태양광,3837.076
68,2021-08-08,광양항광양냉장태양광,1540.327
69,2021-08-09,광양항광양냉장태양광,2961.573
70,2021-08-10,광양항광양냉장태양광,3212.749
71,2021-08-11,광양항광양냉장태양광,3033.888
72,2021-08-12,광양항광양냉장태양광,2775.961
73,2021-08-13,광양항광양냉장태양광,1322.897
74,2021-08-14,광양항광양냉장태양광,1792.948
75,2021-08-15,광양항광양냉장태양광,3692.925
76,2021-08-16,광양항광양냉장태양광,2596.137
77,2021-08-17,광양항광양냉장태양광,2580.225
78,2021-08-18,광양항광양냉장태양광,3803.329
79,2021-08-19,광양항광양냉장태양광,3793.206
80,2021-08-20,광양항광양냉장태양광,3746.922
81,2021-08-21,광양항광양냉장태양광,255.515
82,2021-08-22,광양항광양냉장태양광,3239.263
83,2021-08-23,광양항광양냉장태양광,972.888
84,2021-08-24,광양항광양냉장태양광,1270.347
85,2021-08-25,광양항광양냉장태양광,720.747
86,2021-08-26,광양항광양냉장태양광,3756.564
87,2021-08-27,광양항광양냉장태양광,2423.542
88,2021-08-28,광양항광양냉장태양광,2873.349
89,2021-08-29,광양항광양냉장태양광,2308.32
90,2021-08-30,광양항광양냉장태양광,3022.801
91,2021-08-31,광양항광양냉장태양광,3107.168
92,2021-09-01,광양항광양냉장태양광,1193.692
93,2021-09-02,광양항광양냉장태양광,1105.951
94,2021-09-03,광양항광양냉장태양광,2142.957
95,2021-09-04,광양항광양냉장태양광,2641.938
96,2021-09-05,광양항광양냉장태양광,1141.144
97,2021-09-06,광양항광양냉장태양광,541.405
98,2021-09-07,광양항광양냉장태양광,998.923
99,2021-09-08,광양항광양냉장태양광,3422.946
100,2021-09-09,광양항광양냉장태양광,2889.738
101,2021-09-10,광양항광양냉장태양광,907.805
102,2021-09-11,광양항광양냉장태양광,3581.558
103,2021-09-12,광양항광양냉장태양광,2953.377
104,2021-09-13,광양항광양냉장태양광,1643.015
105,2021-09-14,광양항광양냉장태양광,1117.038
106,2021-09-15,광양항광양냉장태양광,2850.688
107,2021-09-16,광양항광양냉장태양광,912.624
108,2021-09-17,광양항광양냉장태양광,1330.609
109,2021-09-18,광양항광양냉장태양광,2414.385
110,2021-09-19,광양항광양냉장태양광,3707.39
111,2021-09-20,광양항광양냉장태양광,2141.513
112,2021-09-21,광양항광양냉장태양광,1537.917
113,2021-09-22,광양항광양냉장태양광,3056.548
114,2021-09-23,광양항광양냉장태양광,3348.702
115,2021-09-24,광양항광양냉장태양광,3403.182
116,2021-09-25,광양항광양냉장태양광,1709.546
117,2021-09-26,광양항광양냉장태양광,2306.876
118,2021-09-27,광양항광양냉장태양광,3289.886
119,2021-09-28,광양항광양냉장태양광,1302.167
120,2021-09-29,광양항광양냉장태양광,941.07
121,2021-09-30,광양항광양냉장태양광,2588.423
122,2021-10-01,광양항광양냉장태양광,3332.794
123,2021-10-02,광양항광양냉장태양광,3319.296
124,2021-10-03,광양항광양냉장태양광,3228.178
125,2021-10-04,광양항광양냉장태양광,2893.113
126,2021-10-05,광양항광양냉장태양광,3207.445
127,2021-10-06,광양항광양냉장태양광,3076.313
128,2021-10-07,광양항광양냉장태양광,2686.289
129,2021-10-08,광양항광양냉장태양광,2100.531
130,2021-10-09,광양항광양냉장태양광,3006.408
131,2021-10-10,광양항광양냉장태양광,1828.142
132,2021-10-11,광양항광양냉장태양광,519.227
133,2021-10-12,광양항광양냉장태양광,1407.265
134,2021-10-13,광양항광양냉장태양광,2359.905
135,2021-10-14,광양항광양냉장태양광,2906.613
136,2021-10-15,광양항광양냉장태양광,2211.416
137,2021-10-16,광양항광양냉장태양광,807.045
138,2021-10-17,광양항광양냉장태양광,3501.05
139,2021-10-18,광양항광양냉장태양광,3364.614
140,2021-10-19,광양항광양냉장태양광,2923.487
141,2021-10-20,광양항광양냉장태양광,2297.713
142,2021-10-21,광양항광양냉장태양광,2579.264
143,2021-10-22,광양항광양냉장태양광,3276.871
144,2021-10-23,광양항광양냉장태양광,3169.359
145,2021-10-24,광양항광양냉장태양광,2360.869
146,2021-10-25,광양항광양냉장태양광,3059.44
147,2021-10-26,광양항광양냉장태양광,2847.797
148,2021-10-27,광양항광양냉장태양광,2685.326
149,2021-10-28,광양항광양냉장태양광,2974.108
150,2021-10-29,광양항광양냉장태양광,2769.695
151,2021-10-30,광양항광양냉장태양광,1327.238
152,2021-10-31,광양항광양냉장태양광,2737.392
153,2021-11-01,광양항광양냉장태양광,2464.521
154,2021-11-02,광양항광양냉장태양광,2680.507
155,2021-11-03,광양항광양냉장태양광,2680.986
156,2021-11-04,광양항광양냉장태양광,2615.902
157,2021-11-05,광양항광양냉장태양광,1879.245
158,2021-11-06,광양항광양냉장태양광,2392.208
159,2021-11-07,광양항광양냉장태양광,2563.837
160,2021-11-08,광양항광양냉장태양광,579.491
161,2021-11-09,광양항광양냉장태양광,1630.963
162,2021-11-10,광양항광양냉장태양광,1698.938
163,2021-11-11,광양항광양냉장태양광,1456.924
164,2021-11-12,광양항광양냉장태양광,1697.011
165,2021-11-13,광양항광양냉장태양광,2083.66
166,2021-11-14,광양항광양냉장태양광,2057.625
167,2021-11-15,광양항광양냉장태양광,2310.249
168,2021-11-16,광양항광양냉장태양광,1898.048
169,2021-11-17,광양항광양냉장태양광,2410.526
170,2021-11-18,광양항광양냉장태양광,2322.784
171,2021-11-19,광양항광양냉장태양광,2416.794
172,2021-11-20,광양항광양냉장태양광,2148.26
173,2021-11-21,광양항광양냉장태양광,957.46
174,2021-11-22,광양항광양냉장태양광,1695.083
175,2021-11-23,광양항광양냉장태양광,1728.83
176,2021-11-24,광양항광양냉장태양광,1893.229
177,2021-11-25,광양항광양냉장태양광,2027.253
178,2021-11-26,광양항광양냉장태양광,2434.149
179,2021-11-27,광양항광양냉장태양광,2366.173
180,2021-11-28,광양항광양냉장태양광,2327.604
181,2021-11-29,광양항광양냉장태양광,2141.51
182,2021-11-30,광양항광양냉장태양광,419.914
183,2021-12-01,광양항광양냉장태양광,1609.749
184,2021-12-02,광양항광양냉장태양광,2287.105
185,2021-12-03,광양항광양냉장태양광,1653.62
186,2021-12-04,광양항광양냉장태양광,1301.685
187,2021-12-05,광양항광양냉장태양광,1597.695
188,2021-12-06,광양항광양냉장태양광,2138.618
189,2021-12-07,광양항광양냉장태양광,2200.809
190,2021-12-08,광양항광양냉장태양광,2264.448
191,2021-12-09,광양항광양냉장태양광,1265.526
192,2021-12-10,광양항광양냉장태양광,1496.455
193,2021-12-11,광양항광양냉장태양광,1974.221
194,2021-12-12,광양항광양냉장태양광,1224.547
195,2021-12-13,광양항광양냉장태양광,2429.81
196,2021-12-14,광양항광양냉장태양광,1992.542
197,2021-12-15,광양항광양냉장태양광,1396.177
198,2021-12-16,광양항광양냉장태양광,673.017
199,2021-12-17,광양항광양냉장태양광,1613.605
200,2021-12-18,광양항광양냉장태양광,2432.704
201,2021-12-19,광양항광양냉장태양광,2229.737
202,2021-12-20,광양항광양냉장태양광,1926.973
203,2021-12-21,광양항광양냉장태양광,1960.24
204,2021-12-22,광양항광양냉장태양광,2136.21
205,2021-12-23,광양항광양냉장태양광,2005.075
206,2021-12-24,광양항광양냉장태양광,985.905
207,2021-12-25,광양항광양냉장태양광,2377.743
208,2021-12-26,광양항광양냉장태양광,2411.975
209,2021-12-27,광양항광양냉장태양광,2295.784
210,2021-12-28,광양항광양냉장태양광,2032.073
211,2021-12-29,광양항광양냉장태양광,1351.823
212,2021-12-30,광양항광양냉장태양광,2066.785
213,2021-12-31,광양항광양냉장태양광,2439.934
214,2022-01-01,광양항광양냉장태양광,2327.121
215,2022-01-02,광양항광양냉장태양광,2043.16
216,2022-01-03,광양항광양냉장태양광,2379.19
217,2022-01-04,광양항광양냉장태양광,2246.128
218,2022-01-05,광양항광양냉장태양광,674.466
219,2022-01-06,광양항광양냉장태양광,2410.044
220,2022-01-07,광양항광양냉장태양광,2378.224
221,2022-01-08,광양항광양냉장태양광,2414.384
222,2022-01-09,광양항광양냉장태양광,1635.301
223,2022-01-10,광양항광양냉장태양광,1946.741
224,2022-01-11,광양항광양냉장태양광,2486.7
225,2022-01-12,광양항광양냉장태양광,2545.999
226,2022-01-13,광양항광양냉장태양광,2325.193
227,2022-01-14,광양항광양냉장태양광,2548.41
228,2022-01-15,광양항광양냉장태양광,2276.981
229,2022-01-16,광양항광양냉장태양광,2242.271
230,2022-01-17,광양항광양냉장태양광,1907.208
231,2022-01-18,광양항광양냉장태양광,2617.83
232,2022-01-19,광양항광양냉장태양광,2281.323
233,2022-01-20,광양항광양냉장태양광,2498.269
234,2022-01-21,광양항광양냉장태양광,2268.786
235,2022-01-22,광양항광양냉장태양광,1635.782
236,2022-01-23,광양항광양냉장태양광,1108.841
237,2022-01-24,광양항광양냉장태양광,1507.061
238,2022-01-25,광양항광양냉장태양광,540.441
239,2022-01-26,광양항광양냉장태양광,2276.02
240,2022-01-27,광양항광양냉장태양광,2254.806
241,2022-01-28,광양항광양냉장태양광,2636.151
242,2022-01-29,광양항광양냉장태양광,2108.729
243,2022-01-30,광양항광양냉장태양광,2157.422
244,2022-01-31,광양항광양냉장태양광,2717.143
245,2022-02-01,광양항광양냉장태양광,2300.123
246,2022-02-02,광양항광양냉장태양광,2014.237
247,2022-02-03,광양항광양냉장태양광,2805.37
248,2022-02-04,광양항광양냉장태양광,2637.597
249,2022-02-05,광양항광양냉장태양광,2878.17
250,2022-02-06,광양항광양냉장태양광,2205.15
251,2022-02-07,광양항광양냉장태양광,1153.679
252,2022-02-08,광양항광양냉장태양광,2695.45
253,2022-02-09,광양항광양냉장태양광,2096.193
254,2022-02-10,광양항광양냉장태양광,2782.229
255,2022-02-11,광양항광양냉장태양광,2790.909
